Lr,Loss
1.409262398912702e-06,1.1947770595550538
1.0248746713244749e-06,0.9950250267982483
1.0407284498600487e-06,0.9941367149353028
1.056827470375825e-06,0.9967061042785644
1.0731755265181401e-06,0.9934131503105164
1.089776470617216e-06,0.9961427688598633
1.1066342145949423e-06,0.9971341252326965
1.1237527308866995e-06,0.9919344425201416
1.141136053377439e-06,0.99344881772995
1.1587882783522495e-06,0.9969634056091309
1.1767135654616227e-06,0.9971614599227905
1.1949161387016513e-06,0.9987894296646118
1.2134002874093924e-06,0.9952070355415344
1.2321703672736255e-06,0.998728358745575
1.251230801361247e-06,0.9950616478919982
1.270586081159541e-06,0.995021378993988
1.290240767634575e-06,0.9964771151542664
1.3101994923059657e-06,0.9961647629737854
1.3304669583382724e-06,0.9917062520980835
1.3510479416492702e-06,0.9953658819198609
1.3719472920353714e-06,0.9975603342056274
1.3931699343144515e-06,0.9952812910079956
1.4147208694863568e-06,0.9932049512863159
1.4366051759113617e-06,0.9940569519996643
1.4588280105068585e-06,0.9875502109527587
1.4813946099625544e-06,0.9966069102287293
1.5043102919744709e-06,0.9967322230339051
1.5275804564980287e-06,0.9926583647727967
1.5512105870205181e-06,0.9901039242744446
1.5752062518532524e-06,0.9954144597053528
1.5995731054437109e-06,0.9957757472991944
1.6243168897079781e-06,0.9903116941452026
1.6494434353837952e-06,0.9919368505477906
1.674958663404541e-06,0.9925167679786682
1.7008685862944683e-06,0.9895350933074951
1.7271793095855208e-06,0.9974331617355346
1.753897033256072e-06,0.9971311330795288
1.781028053191912e-06,0.997356116771698
1.808578762669841e-06,0.9924104809761047
1.8365556538642107e-06,0.9945713758468628
1.8649653193767666e-06,0.9907196521759033
1.893814453790163e-06,0.9958924412727356
1.9231098552455008e-06,0.9922340512275696
1.9528584270442757e-06,0.9891312718391418
1.9830671792751e-06,0.9869856357574462
2.013743230465596e-06,0.9936989784240723
2.044893809259835e-06,0.9819507598876953
2.0765262561217283e-06,0.9930197477340699
2.1086480250647676e-06,0.9965077042579651
2.1412666854085243e-06,0.9966952800750732
2.1743899235623154e-06,0.9906117081642151
2.208025544836467e-06,0.9861609101295471
2.24218147528159e-06,0.9919776439666748
2.276865763556313e-06,0.9888537883758545
2.312086582823905e-06,0.9859888911247253
2.347852232678234e-06,0.9938573360443115
2.384171141099524e-06,0.9961710214614868
2.4210518664403607e-06,0.991606593132019
2.458503099442422e-06,0.9917097687721252
2.496533665284401e-06,0.989443051815033
2.5351525256616153e-06,0.9893312215805053
2.574368780897779e-06,0.9952862739562989
2.6141916720894447e-06,0.9917191982269287
2.6546305832836176e-06,0.9891810536384582
2.695695043689055e-06,0.986656641960144
2.7373947299217727e-06,0.9670250296592713
2.779739468285286e-06,0.9843356370925903
2.822739237086126e-06,0.9794101595878602
2.8664041689851697e-06,0.9944945693016052
2.910744553385351e-06,0.9875112056732178
2.955770838856298e-06,0.9856221914291382
3.0014936355964855e-06,0.9906534671783447
3.0479237179334655e-06,0.9755747318267822
3.095072026862784e-06,0.9458311796188354
3.142949672626163e-06,0.9931143283843994
3.1915679373295688e-06,0.9423926115036011
3.2409382776017813e-06,0.9659173011779785
3.291072327294083e-06,0.9697078585624694
3.3419819002217146e-06,0.9522240877151489
3.393678992947736e-06,0.9617935538291931
3.4461757876099477e-06,0.9635964512825013
3.49948465479155e-06,0.9917478203773499
3.5536181564362007e-06,0.9859654664993286
3.6085890488081687e-06,0.9371541738510132
3.664410285498279e-06,0.9822197437286377
3.721095020476353e-06,0.8869258880615234
3.7786566111908736e-06,0.9841634154319763
3.837108621716594e-06,0.972246515750885
3.896464825950835e-06,0.9942734003067016
3.9567392108592305e-06,0.9795689821243286
4.017945979771684e-06,0.8972867846488952
4.080099555729297e-06,0.9944618105888366
4.1432145848830886e-06,0.9839476227760315
4.207305939945272e-06,0.9467294931411743
4.272388723693938e-06,0.9030465722084046
4.3384782725319375e-06,0.9694898962974549
4.405590160100816e-06,0.9776979565620423
4.4737402009506685e-06,0.9435805916786194
4.5429444542667415e-06,0.8494550585746765
4.613219227653697e-06,0.9387049198150634
4.684581080978412e-06,0.86805499792099
4.757046830272218e-06,0.9561483979225158
4.830633551693507e-06,0.8624946117401123
4.905358585551638e-06,0.9489726305007935
4.9812395403930814e-06,0.8949936747550964
5.0582942971507815e-06,0.9279160380363465
5.1365410133577e-06,0.9282869458198547
5.215998127425536e-06,0.8962467193603516
5.296684362989642e-06,0.9416968584060669
5.378618733321143e-06,0.9522148251533509
5.461820545807311e-06,0.9537948966026306
5.546309406501246e-06,0.9311537146568298
5.632105224741936e-06,0.9046047687530517
5.719228217845781e-06,0.9374119639396667
5.8076989158706955e-06,0.8870898365974427
5.8975381664539085e-06,0.9291675090789795
5.988767139724585e-06,0.6951963186264039
6.0814073332924645e-06,0.778128731250763
6.175480577313644e-06,0.865907096862793
6.271009039634742e-06,0.964815616607666
6.368015231016629e-06,1.0
6.4665220104389645e-06,1.0
6.566552590486792e-06,1.0
6.6681305428204545e-06,1.0
6.771279803730135e-06,1.0
6.876024679776307e-06,1.0
6.982389853517438e-06,1.0
7.090400389326315e-06,1.0
7.200081739296313e-06,1.0
7.311459749239046e-06,1.0
7.424560664774795e-06,1.0
7.539411137517142e-06,1.0
7.656038231353277e-06,1.0
7.774469428821451e-06,1.0
7.894732637587104e-06,1.0
8.016856197019129e-06,1.0
8.140868884867913e-06,1.0
8.26679992404663e-06,1.0
8.394678989517497e-06,1.0
8.52453621528448e-06,1.0
8.656402201494233e-06,1.0
8.790308021646847e-06,1.0
8.926285229918147e-06,1.0
9.064365868595265e-06,1.0
9.204582475627237e-06,1.0
9.346968092292376e-06,1.0
9.49155627098429e-06,1.0
9.6383810831183e-06,1.0
9.7874771271602e-06,1.0
9.938879536779187e-06,1.0
1.009262398912692e-05,1.0
1.0248746713244647e-05,1.0
1.0407284498600385e-05,1.0
1.0568274703758148e-05,1.0
1.0731755265181294e-05,1.0
1.0897764706172052e-05,1.0
1.1066342145949317e-05,1.0
1.1237527308866884e-05,1.0
1.1411360533774277e-05,1.0
1.1587882783522382e-05,1.0
1.176713565461611e-05,1.0
1.1949161387016395e-05,1.0
1.2134002874093805e-05,1.0
1.2321703672736134e-05,1.0
1.2512308013612347e-05,1.0
1.2705860811595288e-05,1.0
1.2902407676345623e-05,1.0
1.3101994923059532e-05,1.0
1.3304669583382594e-05,1.0
1.351047941649257e-05,1.0
1.3719472920353581e-05,1.0
1.3931699343144378e-05,1.0
1.4147208694863427e-05,1.0
1.4366051759113476e-05,1.0
1.458828010506844e-05,1.0
1.4813946099625401e-05,1.0
1.5043102919744562e-05,1.0
1.527580456498014e-05,1.0
1.5512105870205028e-05,1.0
1.5752062518532368e-05,1.0
1.5995731054436952e-05,1.0
1.6243168897079624e-05,1.0
1.6494434353837794e-05,1.0
1.6749586634045247e-05,1.0
1.7008685862944513e-05,1.0
1.727179309585504e-05,1.0
1.7538970332560548e-05,1.0
1.7810280531918944e-05,1.0
1.8085787626698234e-05,1.0
1.8365556538641928e-05,1.0
1.8649653193767484e-05,1.0
1.8938144537901444e-05,1.0
1.923109855245482e-05,1.0
1.9528584270442564e-05,1.0
1.983067179275081e-05,1.0
2.013743230465577e-05,1.0
2.0448938092598147e-05,1.0
2.076526256121708e-05,1.0
2.108648025064747e-05,1.0
2.141266685408503e-05,1.0
2.174389923562294e-05,1.0
2.2080255448364446e-05,1.0
2.242181475281567e-05,1.0
2.276865763556291e-05,1.0
2.3120865828238826e-05,1.0
2.3478522326782115e-05,1.0
2.3841711410995012e-05,1.0
2.4210518664403375e-05,1.0
2.458503099442398e-05,1.0
2.496533665284376e-05,1.0
2.53515252566159e-05,1.0
2.5743687808977536e-05,1.0
2.6141916720894188e-05,1.0
2.6546305832835913e-05,1.0
2.6956950436890286e-05,1.0
2.7373947299217463e-05,1.0
2.7797394682852588e-05,1.0
2.822739237086098e-05,1.0
2.8664041689851416e-05,1.0
2.9107445533853223e-05,1.0
2.955770838856269e-05,1.0
3.001493635596456e-05,1.0
3.0479237179334357e-05,1.0
3.095072026862754e-05,1.0
3.142949672626132e-05,1.0
3.191567937329538e-05,1.0
3.2409382776017494e-05,1.0
3.291072327294051e-05,1.0
3.341981900221682e-05,1.0
3.393678992947702e-05,1.0
3.446175787609914e-05,1.0
3.499484654791516e-05,1.0
3.5536181564361656e-05,1.0
3.6085890488081335e-05,1.0
3.664410285498242e-05,1.0
3.721095020476316e-05,1.0
3.778656611190836e-05,1.0
3.8371086217165564e-05,1.0
3.8964648259507965e-05,1.0
3.956739210859193e-05,1.0
4.0179459797716444e-05,1.0
4.080099555729258e-05,1.0
4.143214584883047e-05,1.0
4.2073059399452305e-05,1.0
4.2723887236938965e-05,1.0
4.3384782725318943e-05,1.0
4.405590160100774e-05,1.0
4.473740200950625e-05,1.0
4.542944454266697e-05,1.0
4.613219227653653e-05,1.0
4.684581080978367e-05,1.0
4.757046830272172e-05,1.0
4.8306335516934603e-05,1.0
4.90535858555159e-05,1.0
4.981239540393031e-05,1.0
5.058294297150731e-05,1.0
5.1365410133576495e-05,1.0
5.2159981274254845e-05,1.0
5.29668436298959e-05,1.0
5.3786187333210904e-05,1.0
5.461820545807258e-05,1.0
5.546309406501192e-05,1.0
5.63210522474188e-05,1.0
5.7192282178457233e-05,1.0
5.807698915870638e-05,1.0
5.897538166453849e-05,1.0
5.9887671397245245e-05,1.0
6.081407333292404e-05,1.0
6.175480577313581e-05,1.0
6.271009039634681e-05,1.0
6.368015231016566e-05,1.0
6.4665220104389e-05,1.0
6.566552590486726e-05,1.0
6.66813054282039e-05,1.0
6.77127980373007e-05,1.0
6.876024679776239e-05,1.0
6.98238985351737e-05,1.0
7.090400389326247e-05,1.0
7.200081739296243e-05,1.0
7.311459749238976e-05,1.0
7.424560664774723e-05,1.0
7.539411137517067e-05,1.0
7.6560382313532e-05,1.0
7.774469428821376e-05,1.0
7.894732637587027e-05,1.0
8.016856197019051e-05,1.0
8.140868884867831e-05,1.0
8.26679992404655e-05,1.0
8.394678989517414e-05,1.0
8.524536215284396e-05,1.0
8.656402201494149e-05,1.0
8.790308021646761e-05,1.0
8.926285229918059e-05,1.0
9.064365868595179e-05,1.0
9.204582475627146e-05,1.0
9.346968092292285e-05,1.0
9.491556270984196e-05,1.0
9.638381083118205e-05,1.0
9.787477127160105e-05,1.0
